May  5 13:05:19 kernel: klogd started: BusyBox v1.25.1 (2022-04-12 20:30:56 CST)
May  5 13:05:19 kernel: [    3.355896] 0x000000600000-0x000002e00000 : "rootfs"
May  5 13:05:19 kernel: [    3.362691] mtd: device 5 (rootfs) set to be root filesystem
May  5 13:05:19 kernel: [    3.368359] 0x000002e00000-0x000004400000 : "jffsconcat0"
May  5 13:05:19 kernel: [    3.375417] 0x000004400000-0x000004600000 : "Factory2"
May  5 13:05:19 kernel: [    3.382095] 0x000004600000-0x000004800000 : "Factory"
May  5 13:05:19 kernel: [    3.388621] 0x000004800000-0x000004a00000 : "boarddata"
May  5 13:05:19 kernel: [    3.395398] 0x000004a00000-0x000005420000 : "backup"
May  5 13:05:19 kernel: [    3.401969] 0x000005420000-0x000007fe0000 : "jffsconcat1"
May  5 13:05:19 kernel: [    3.495453] offset 0x12000 elapse 10ms
May  5 13:05:19 kernel: [    3.549206] This architecture does not have kernel memory protection.
May  5 13:05:19 kernel: [    5.899139] Concatenating MTD devices:
May  5 13:05:19 kernel: [    5.903004] (0): "jffsconcat0"
May  5 13:05:19 kernel: [    5.906071] (1): "jffsconcat1"
May  5 13:05:19 kernel: [    5.909118] into device "jffs2"
May  5 13:05:19 kernel: [    5.925374] Netgear R6700v2/R6800/R6900v2 LED driver initialized
May  5 13:05:19 kernel: [    5.931742] Reset Semtech SX1503 GPIOs!
May  5 13:05:19 kernel: [   14.351200] registered led device: netgear:lan4:orange
May  5 13:05:19 kernel: [   14.431218] registered led device: netgear:lan4:white
May  5 13:05:19 kernel: [   14.511221] registered led device: netgear:lan3:orange
May  5 13:05:19 kernel: [   14.591216] registered led device: netgear:lan3:white
May  5 13:05:19 kernel: [   14.671216] registered led device: netgear:lan2:orange
May  5 13:05:19 kernel: [   14.751224] registered led device: netgear:lan2:white
May  5 13:05:19 kernel: [   14.831222] registered led device: netgear:lan1:orange
May  5 13:05:19 kernel: [   14.911214] registered led device: netgear:lan1:white
May  5 13:05:19 kernel: [   14.991230] registered led device: netgear:power:orange
May  5 13:05:19 kernel: [   15.071248] registered led device: netgear:power:white
May  5 13:05:19 kernel: [   15.151219] registered led device: netgear:internet:orange
May  5 13:05:19 kernel: [   15.231227] registered led device: netgear:internet:white
May  5 13:05:19 kernel: [   15.311222] registered led device: netgear:2g:white
May  5 13:05:19 kernel: [   15.391232] registered led device: netgear:5g:white
May  5 13:05:19 kernel: [   15.471222] registered led device: netgear:guest:white
May  5 13:05:19 kernel: [   15.551236] registered led device: netgear:usb:white
May  5 13:05:19 kernel: [   23.297528] nand: nand_erase_nand: attempt to erase a bad block at page 0x00008fc0
May  5 13:05:19 kernel: [   23.350253] Sync Factory's EEPROM to [Factory2] OK.
May  5 13:05:19 kernel: [   26.492050] mt_wifi_7615E: module license 'Proprietary' taints kernel.
May  5 13:05:19 kernel: [   26.498566] Disabling lock debugging due to kernel taint
May  5 13:05:19 kernel: [   26.605488] register mt_drv
May  5 13:05:19 kernel: [   26.625998] 
May  5 13:05:19 kernel: [   26.625998] == pAd = c0d81000, size = 4183552, Status=0 ==
May  5 13:05:19 kernel: [   26.633004] pAd->PciHif.CSRBaseAddress =0xc0c80000, csr_addr=0xc0c80000!
May  5 13:05:19 kernel: [   26.639779] RTMPInitPCIeDevice():device_id=0x7615
May  5 13:05:19 kernel: [   26.644512] mt_pci_chip_cfg(): HWVer=0x8a10, FWVer=0x8a10, pAd->ChipID=0x7615
May  5 13:05:19 kernel: [   26.651634] mt_pci_chip_cfg(): HIF_SYS_REV=0x76150001
May  5 13:05:19 kernel: [   26.656659] AP Driver version-5.1.0.0
May  5 13:05:19 kernel: [   26.660301] RtmpChipOpsHook(223): Not support for HIF_MT yet! MACVersion=0x0
May  5 13:05:19 kernel: [   26.667330] mt7615_init()-->
May  5 13:05:19 kernel: [   26.670198] Use 1st iPAiLNA default bin.
May  5 13:05:19 kernel: [   26.674120] Use 0st /etc_ro/wlan/MT7615E_EEPROM1.bin default bin.
May  5 13:05:19 kernel: [   26.680200] <--mt7615_init()
May  5 13:05:19 kernel: [   26.685775] <-- RTMPAllocTxRxRingMemory, Status=0
May  5 13:05:19 kernel: [   26.715508] 
May  5 13:05:19 kernel: [   26.715508] == pAd = c1281000, size = 4183552, Status=0 ==
May  5 13:05:19 kernel: [   26.722599] pAd->PciHif.CSRBaseAddress =0xc1180000, csr_addr=0xc1180000!
May  5 13:05:19 kernel: [   26.729387] RTMPInitPCIeDevice():device_id=0x7615
May  5 13:05:19 kernel: [   26.734240] mt_pci_chip_cfg(): HWVer=0x8a10, FWVer=0x8a10, pAd->ChipID=0x7615
May  5 13:05:19 kernel: [   26.741517] mt_pci_chip_cfg(): HIF_SYS_REV=0x76150001
May  5 13:05:19 kernel: [   26.746595] AP Driver version-5.1.0.0
May  5 13:05:19 kernel: [   26.750343] RtmpChipOpsHook(223): Not support for HIF_MT yet! MACVersion=0x0
May  5 13:05:19 kernel: [   26.757488] mt7615_init()-->
May  5 13:05:19 kernel: [   26.760450] Use 2nd ePAeLNA default bin.
May  5 13:05:19 kernel: [   26.764467] Use 1st /etc_ro/wlan/MT7615E_EEPROM2.bin default bin.
May  5 13:05:19 kernel: [   26.770581] <--mt7615_init()
May  5 13:05:19 kernel: [   26.776276] <-- RTMPAllocTxRxRingMemory, Status=0
May  5 13:05:19 kernel: [   28.022222] ubi0: attaching mtd12
May  5 13:05:19 kernel: [   28.741114] ubi0: scanning is finished
May  5 13:05:19 kernel: [   28.765062] ubi0: attached mtd12 (name "jffs2", size 65 MiB)
May  5 13:05:19 kernel: [   28.765093] ubi0: PEB size: 131072 bytes (128 KiB), LEB size: 126976 bytes
May  5 13:05:19 kernel: [   28.765110] ubi0: min./max. I/O unit sizes: 2048/2048, sub-page size 2048
May  5 13:05:19 kernel: [   28.765128] ubi0: VID header offset: 2048 (aligned 2048), data offset: 4096
May  5 13:05:19 kernel: [   28.765145] ubi0: good PEBs: 526, bad PEBs: 0, corrupted PEBs: 0
May  5 13:05:19 kernel: [   28.765164] ubi0: user volume: 1, internal volumes: 1, max. volumes count: 128
May  5 13:05:19 kernel: [   28.765185] ubi0: max/mean erase counter: 2/1, WL threshold: 4096, image sequence number: 1158952531
May  5 13:05:19 kernel: [   28.765202] ubi0: available PEBs: 188, total reserved PEBs: 338, PEBs reserved for bad PEB handling: 11
May  5 13:05:19 kernel: [   28.765663] ubi0: background thread "ubi_bgt0d" started, PID 614
May  5 13:05:19 kernel: [   30.910240] random: init: uninitialized urandom read (6 bytes read, 91 bits of entropy available)
May  5 13:05:19 kernel: [   30.910744] random: init: uninitialized urandom read (6 bytes read, 91 bits of entropy available)
May  5 13:05:19 kernel: [   31.271277] xhci-mtk 1e1c0000.usb: ## USB3 port 0/0 addr(be1c0420) s1(000001c0) --> (000001c0)
May  5 13:05:19 : module rt2860v2_ap not found in modules.dep
May  5 13:05:21 kernel: [   33.183415] ra0: ===> main_virtual_if_open
May  5 13:05:21 kernel: [   33.188574] load l1profile succeed!
May  5 13:05:21 kernel: [   33.193121] driver_own()::Try to Clear FW Own...
May  5 13:05:21 kernel: [   33.499540] driver_own()::Success to clear FW Own
May  5 13:05:21 kernel: [   33.505949] APWdsInitialize():WdsEntry Number=4
May  5 13:05:21 kernel: [   33.517061] RtmpOSFileOpen(): Error 2 opening /etc/Wireless/RT2860/RT2860_5G.dat
May  5 13:05:21 kernel: [   33.524477] Open file "/etc/Wireless/RT2860/RT2860_5G.dat" failed!
May  5 13:05:21 kernel: [   33.531427] E2pAccessMode=2
May  5 13:05:21 kernel: [   33.534564] SSID[0]=Cisco_2G, EdcaIdx=0
May  5 13:05:21 kernel: [   33.539017] BSS0 PhyMode=14
May  5 13:05:21 kernel: [   33.541853] wmode_band_equal(): Band Equal!
May  5 13:05:21 kernel: [   33.546145] auto_ch_select_set_cfg(): BandIdx0, AutoChannelAtBootup=1, AutoChannelAlg = 3
May  5 13:05:21 kernel: [   33.555924] [TxPower] BAND0: 100 
May  5 13:05:21 kernel: [   33.562373] FragThreshold[0]=2346
May  5 13:05:21 kernel: [   33.568928] I/F(ra0) NoForwardingMBCast=0
May  5 13:05:21 kernel: [   33.575810] read_etxbf: ETxBfEnCond = 0
May  5 13:05:21 kernel: [   33.579628] read_etxbf: BSSID[0]
May  5 13:05:21 kernel: [   33.582887] read_etxbf: MBSS[0] ETxBfEnCond = 0
May  5 13:05:21 kernel: [   33.588576] [RTMPSetProfileParameters]Disable DFS/Zero wait=0/0
May  5 13:05:21 kernel: [   33.629970] If/wds0 - PeerPhyOpMode=255
May  5 13:05:21 kernel: [   33.634509] APWdsInitialize():WdsEntry Number=4
May  5 13:05:21 kernel: [   33.639014] WDS-Enable mode=0
May  5 13:05:21 kernel: [   33.642271] AndesSendCmdMsg: Could not send in band command due to diablefRTMP_ADAPTER_MCU_SEND_IN_BAND_CMD
May  5 13:05:21 kernel: [   33.651991] AndesSendCmdMsg: Command type = ed, Extension command type = 48
May  5 13:05:21 kernel: [   33.662363] HT: WDEV[0] Ext Channel = BELOW
May  5 13:05:21 kernel: [   33.666796] HT: greenap_cap = 0
May  5 13:05:21 kernel: [   33.691044] RT_CfgSetWscPinCode(): invalid Wsc PinCode (14725836)
May  5 13:05:21 kernel: [   33.697112] RTMPSetProfileParameters - WscVendorPinCode: invalid pin code(14725836)
May  5 13:05:21 kernel: [   33.725690] WtcSetMaxStaNum: BssidNum:1, MaxStaNum:125 (WdsNum:4, ApcliNum:1, MaxNumChipRept:16), MinMcastWcid:126
May  5 13:05:21 kernel: [   33.736276] Top Init Done!
May  5 13:05:21 kernel: [   33.738981] Use dev_alloc_skb
May  5 13:05:21 kernel: [   33.743336] RX[0] DESC a0d54000 size = 16384
May  5 13:05:21 kernel: [   33.748944] RX[1] DESC a0d1a000 size = 8192
May  5 13:05:21 kernel: [   33.753855] cut_through_init(): ct sw token number = 4095
May  5 13:05:21 kernel: [   33.759748] cut_through_token_list_init(): TokenList inited done!id_head/tail=0/4096
May  5 13:05:21 kernel: [   33.767545] cut_through_token_list_init(): 8d434188,8d434188
May  5 13:05:21 kernel: [   33.773699] cut_through_token_list_init(): TokenList inited done!id_head/tail=0/4096
May  5 13:05:21 kernel: [   33.781481] cut_through_token_list_init(): 8d434198,8d434198
May  5 13:05:21 kernel: [   33.787145] Hif Init Done!
May  5 13:05:21 kernel: [   33.789843] ctl->txq = c1178d90
May  5 13:05:21 kernel: [   33.793022] ctl->rxq = c1178d9c
May  5 13:05:21 kernel: [   33.796152] ctl->ackq = c1178da8
May  5 13:05:21 kernel: [   33.799363] ctl->kickq = c1178db4
May  5 13:05:21 kernel: [   33.802712] ctl->tx_doneq = c1178dc0
May  5 13:05:21 kernel: [   33.806275] ctl->rx_doneq = c1178dcc
May  5 13:05:21 kernel: [   33.809905] Parsing patch header
May  5 13:05:21 kernel: [   33.813167] 	Built date: 20180518100604a
May  5 13:05:21 kernel: [   33.817134] 
May  5 13:05:21 kernel: [   33.818615] 	Platform: ALPS
May  5 13:05:21 kernel: [   33.821475] 	HW/SW version: 0x8a108a10
May  5 13:05:21 kernel: [   33.825234] 	Patch version: 0x00000010
May  5 13:05:21 kernel: [   33.828987] 	Target address: 0x80000, length: 11072
May  5 13:05:21 kernel: [   33.834055] patch is not ready && get semaphore success
May  5 13:05:21 kernel: [   33.839333] EventGenericEventHandler: CMD Success
May  5 13:05:21 kernel: [   33.844212] MtCmdPatchFinishReq
May  5 13:05:21 kernel: [   33.858600] EventGenericEventHandler: CMD Success
May  5 13:05:21 kernel: [   33.863446] release patch semaphore
May  5 13:05:21 kernel: [   33.866930] WfMcuHwInit: Before NICLoadFirmware, check ICapMode = 0
May  5 13:05:21 kernel: [   33.873233] Parsing CPU 0 fw tailer
May  5 13:05:21 kernel: [   33.876708] 	Chip ID: 0x04
May  5 13:05:21 kernel: [   33.879413] 	Eco version: 0x00
May  5 13:05:21 kernel: [   33.882522] 	Region number: 0x00
May  5 13:05:21 kernel: [   33.885740] 	Format version: 0x00
May  5 13:05:21 kernel: [   33.889043] 	Ram version: _reserved_
May  5 13:05:22 kernel: [   33.892720] 	Built date: 20170622015450<4>[   33.903078] 	Feature set: 0x01
May  5 13:05:22 kernel: [   33.906142] 	Target address: 0x84000, Download size: 409600
May  5 13:05:22 kernel: [   33.911733] Parsing tailer region 1
May  5 13:05:22 kernel: [   33.915213] 	Feature set: 0x01
May  5 13:05:22 kernel: [   33.918264] 	Target address: 0x209c400, Download size: 53056
May  5 13:05:22 kernel: [   33.924062] EventGenericEventHandler: CMD Success
May  5 13:05:22 kernel: [   33.934255] EventGenericEventHandler: CMD Success
May  5 13:05:22 kernel: [   33.939719] MtCmdFwStartReq: override = 0x1, address = 0x84000
May  5 13:05:22 kernel: [   33.945714] EventGenericEventHandler: CMD Success
May  5 13:05:22 kernel: [   33.950443] Parsing CPU 1 fw tailer
May  5 13:05:22 kernel: [   33.953974] 	Chip ID: 0x04
May  5 13:05:22 kernel: [   33.956686] 	Eco version: 0x00
May  5 13:05:22 kernel: [   33.959730] 	Region number: 0x00
May  5 13:05:22 kernel: [   33.963018] 	Format version: 0x00
May  5 13:05:22 kernel: [   33.966323] 	Ram version: _reserved_
May  5 13:05:22 kernel: [   33.969913] 	Built date: 20190415154149<4>[   33.980298] 	Feature set: 0x01
May  5 13:05:22 kernel: [   33.983412] 	Target address: 0x90000000, Download size: 122608
May  5 13:05:22 kernel: [   33.989291] EventGenericEventHandler: CMD Success
May  5 13:05:22 kernel: [   33.995645] MtCmdFwStartReq: override = 0x4, address = 0x0
May  5 13:05:22 kernel: [   34.066542] EventGenericEventHandler: CMD Success
May  5 13:05:22 kernel: [   34.105482] MCU Init Done!
May  5 13:05:22 kernel: [   34.108191] efuse_probe: efuse = 10000212
May  5 13:05:22 kernel: [   34.112225] RtmpChipOpsEepromHook::e2p_type=2, inf_Type=5
May  5 13:05:22 kernel: [   34.117612] RtmpEepromGetDefault::e2p_dafault=1
May  5 13:05:22 kernel: [   34.122177] RtmpChipOpsEepromHook: E2P type(2), E2pAccessMode = 2, E2P default = 1
May  5 13:05:22 kernel: [   34.129721] NVM is FLASH mode. dev_idx [0] FLASH OFFSET [0x0]
May  5 13:05:22 kernel: [   34.137400] ^[[34mNICReadEEPROMParameters: EEPROM 0x52 b302^[[m
May  5 13:05:22 kernel: [   34.143197] ^[[34mNICReadEEPROMParameters: EEPROM 0x52 b302^[[m
May  5 13:05:29 kernel: [   41.626182] Country Region from e2p = 101
May  5 13:05:29 kernel: [   41.630184] mt7615_antenna_default_reset(): TxPath = 4, RxPath = 4
May  5 13:05:29 kernel: [   41.636388] RcRadioInit(): DbdcMode=0, ConcurrentBand=1
May  5 13:05:29 kernel: [   41.641625] RcRadioInit(): pRadioCtrl=8fd52af4,Band=0,rfcap=3,channel=1,PhyMode=2 extCha=0xf
May  5 13:05:29 kernel: [   41.650040] MtSingleSkuLoadParam: RF_LOCKDOWN Feature OFF !!!
May  5 13:05:29 kernel: [   41.679406] MtBfBackOffLoadParam: RF_LOCKDOWN Feature OFF !!!
May  5 13:05:29 kernel: [   41.685701] EEPROM Init Done!
May  5 13:05:29 kernel: [   41.688666] mt_mac_init()-->
May  5 13:05:29 kernel: [   41.691584] mt7615_init_mac_cr()-->
May  5 13:05:29 kernel: [   41.695088] mt7615_init_mac_cr(): TMAC_TRCR0=0x82783c8c
May  5 13:05:29 kernel: [   41.700302] <--mt_mac_init()
May  5 13:05:29 kernel: [   41.703437] CmdRxHdrTransBLUpdateRsp::EventExtCmdResult.u4Status = 0x0
May  5 13:05:29 kernel: [   41.710038] CmdRxHdrTransBLUpdateRsp::EventExtCmdResult.u4Status = 0x0
May  5 13:05:29 kernel: [   41.716655] CmdRxHdrTransBLUpdateRsp::EventExtCmdResult.u4Status = 0x0
May  5 13:05:29 kernel: [   41.723219] MAC Init Done!
May  5 13:05:29 kernel: [   41.725926] MT7615BBPInit():BBP Initialization.....
May  5 13:05:29 kernel: [   41.730786] 	Band 0: valid=1, isDBDC=0, Band=2, CBW=1, CentCh/PrimCh=1/1, prim_ch_idx=0, txStream=2
May  5 13:05:29 kernel: [   41.739845] 	Band 1: valid=0, isDBDC=0, Band=0, CBW=0, CentCh/PrimCh=0/0, prim_ch_idx=0, txStream=0
May  5 13:05:29 kernel: [   41.748865] MT7615BBPInit() todo
May  5 13:05:29 kernel: [   41.752120] PHY Init Done!
May  5 13:05:29 kernel: [   41.757396] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:29 kernel: [   41.761511] ap_ftkd> Initialize FT KDP Module...
May  5 13:05:29 kernel: [   41.766132] Main bssid = 00:00:00:00:00:00
May  5 13:05:29 kernel: [   41.777701] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:29 kernel: [   41.781582] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:29 kernel: [   41.785251] <==== mt_wifi_init, Status=0
May  5 13:05:29 kernel: [   41.789151] TxBfModuleEnCtrl:It's not DBDC mode
May  5 13:05:29 kernel: [   41.793761] MtCmdEDCCACtrl: BandIdx: 0, EDCCACtrl: 1
May  5 13:05:29 kernel: [   41.798853] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:29 kernel: [   41.807543] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:29 kernel: [   41.833269] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:29 kernel: [   41.851208] The new WDS interface MAC = 00:00:00:00:00:00, MacTabMatchWCID = 0
May  5 13:05:29 kernel: [   41.859930] Total allocated 4 WDS interfaces!
May  5 13:05:29 kernel: [   41.865748] random: nonblocking pool is initialized
May  5 13:05:30 kernel: [   41.912716] WtcSetMaxStaNum: BssidNum:1, MaxStaNum:125 (WdsNum:4, ApcliNum:1, MaxNumChipRept:16), MinMcastWcid:126
May  5 13:05:30 kernel: [   42.035700] RedInit: set CR4/N9 RED Enable to 1.
May  5 13:05:30 kernel: [   42.041356] RedInit: RED Initiailize Done.
May  5 13:05:30 kernel: [   42.046094] cp_support_is_enabled: set CR4 CP_SUPPORT to Mode 2.
May  5 13:05:30 kernel: [   42.052171] RTMP_COM_IoctlHandle -> CMD_RTPRIV_IOCTL_VIRTUAL_INF_UP
May  5 13:05:30 kernel: [   42.058420] wifi_sys_open(), wdev idx = 0
May  5 13:05:30 kernel: [   42.062467] wdev_attr_update(): wdevId0 = b0:39:56:58:95:92
May  5 13:05:30 kernel: [   42.068021] [RcGetHdevByPhyMode]-- channel 0 fix for rdev fetching
May  5 13:05:30 kernel: [   42.074393] ^[[1;33m [RadarStateCheck] RD_NORMAL_MODE ^[[m 
May  5 13:05:30 kernel: [   42.079776] phy_freq_adjust : no prim_ch value for adjust!
May  5 13:05:30 kernel: [   42.086266] Caller: wlan_operate_init+0x164/0x178 [mt_wifi_7615E]
May  5 13:05:30 kernel: [   42.092381] phy_mode=14, ch=0, wdev_type=1
May  5 13:05:30 kernel: [   42.096460] ht_cap->HtCapInfo: ldpc=1,ch_width=1,gf=0,sgi20=1,sgi40=1,tx_stbc=1,rx_stbc=1,amsdu_size=1
May  5 13:05:30 kernel: [   42.105781] ht_cap->HtCapParm: mdpu_density=5, ampdu_factor=3
May  5 13:05:30 kernel: [   42.111807] AP inf up for ra_0(func_idx) OmacIdx=0
May  5 13:05:30 kernel: [   42.116609] AsicRadioOnOffCtrl(): DbdcIdx=0 RadioOn
May  5 13:05:30 kernel: [   42.121714] ApAutoChannelAtBootUp----------------->
May  5 13:05:30 kernel: [   42.126576] ApAutoChannelAtBootUp: AutoChannelBootup[0] = 1
May  5 13:05:30 kernel: [   42.132397] MtCmdSetMacTxRx:(ret = 0)
May  5 13:05:30 kernel: [   42.136113] mt7615_apply_dcoc() : reload Central CH [2] BW [0] from cetral freq [2417]  offset [2200]
May  5 13:05:30 kernel: [   42.145476] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:30 kernel: [   42.149821] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:30 kernel: [   42.361078] mt7615_apply_dcoc() : reload Central CH [3] BW [0] from cetral freq [2417]  offset [2200]
May  5 13:05:30 kernel: [   42.370388] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:30 kernel: [   42.374776] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:30 kernel: [   42.591073] mt7615_apply_dcoc() : reload Central CH [4] BW [0] from cetral freq [2432]  offset [2300]
May  5 13:05:30 kernel: [   42.600382] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:30 kernel: [   42.604769] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:30 kernel: [   42.821077] mt7615_apply_dcoc() : reload Central CH [5] BW [0] from cetral freq [2432]  offset [2300]
May  5 13:05:30 kernel: [   42.830383] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:30 kernel: [   42.834769] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:31 kernel: [   43.051446] mt7615_apply_dcoc() : reload Central CH [6] BW [0] from cetral freq [2432]  offset [2300]
May  5 13:05:31 kernel: [   43.060758] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:31 kernel: [   43.065147] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:31 kernel: [   43.281083] mt7615_apply_dcoc() : reload Central CH [7] BW [0] from cetral freq [2447]  offset [2400]
May  5 13:05:31 kernel: [   43.290403] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:31 kernel: [   43.294791] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:31 kernel: [   43.511072] mt7615_apply_dcoc() : reload Central CH [8] BW [0] from cetral freq [2447]  offset [2400]
May  5 13:05:31 kernel: [   43.520378] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:31 kernel: [   43.524765] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:31 kernel: [   43.741072] mt7615_apply_dcoc() : reload Central CH [9] BW [0] from cetral freq [2447]  offset [2400]
May  5 13:05:31 kernel: [   43.750378] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:31 kernel: [   43.754823] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:32 kernel: [   43.971069] mt7615_apply_dcoc() : reload Central CH [10] BW [0] from cetral freq [2467]  offset [2500]
May  5 13:05:32 kernel: [   43.980457] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:32 kernel: [   43.984843] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:32 kernel: [   44.201074] mt7615_apply_dcoc() : reload Central CH [11] BW [0] from cetral freq [2467]  offset [2500]
May  5 13:05:32 kernel: [   44.210477] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:32 kernel: [   44.214874] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:32 kernel: [   44.431070] mt7615_apply_dcoc() : reload Central CH [12] BW [0] from cetral freq [2467]  offset [2500]
May  5 13:05:32 kernel: [   44.440467] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:32 kernel: [   44.444846] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:32 kernel: [   44.661090] mt7615_apply_dcoc() : reload Central CH [13] BW [0] from cetral freq [2467]  offset [2500]
May  5 13:05:32 kernel: [   44.670481] MtCmdGetRXDCOCCalResult:(ret = 0)
May  5 13:05:32 kernel: [   44.674875] mt7615_apply_cal_data() : eeprom 0x52 bit 0 is 0, do runtime cal , skip TX reload
May  5 13:05:32 kernel: [   44.891057] ====================================================================
May  5 13:05:32 kernel: [   44.898428] Channel   2 : Busy Time =   2856, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:32 kernel: [   44.905843] Channel   3 : Busy Time =   1811, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.913242] Channel   4 : Busy Time =   4506, Skip Channel = FALSE, BwCap = TRUE
May  5 13:05:33 kernel: [   44.920602] Channel   5 : Busy Time =   4552, Skip Channel = FALSE, BwCap = TRUE
